mention_type,mention_name,citation,place_id,place_name,lat,lon,feature_type
place,Hades,11.325,000000GHad,Hades (Underworld) 210 ELTA,37.98561,23.762304,mythic site
place,Tmolos,11.337,383281LTmo,Tmolus Mt. (Lydia) 91 Boz Dag - Τμώλος,38.3237,28.1016,mountain
demonym,Laconian,11.351,370225RLak,Lakonia region (Peloponnese) 790 Lakonia - Λακωνική,37.001,22.5,region/people
person,Amyclaian,11.351,370224UAmy,Amyklai (Lakonia) 130 Amykles - Αμύκλαι,37.0363,22.4502,sanctuary/temple
place,Maiandros,11.369,378274UMai,Maiandros (Ionia) 15 Söke? - Μαίανδρος,37.7519,27.4103,polity
place,Maiandros,11.369,378274UMai,Maiandros (Ionia) 15 Söke? - Μαίανδρος,37.7519,27.4103,polity
place,Acheron,11.442,392205WAch,Acheron R. (Preveza) 163 Akheron - Αχέρων,39.2348,20.4831,river
place,Maiandros,11.463,378274UMai,Maiandros (Ionia) 15 Söke? - Μαίανδρος,37.7519,27.4103,polity
place,Nile,11.509,312301WNil,Nile River (Egypt) 878 en-Nil - Νείλος,30.0918,31.2313,river
demonym,Lydian,12.117,385280RLyd,Lydia region (Asia Minor) 841 Manisa - Λυδία,38.5,28.0,region/people
demonym,Phrygian,12.117,400310RPhr,Phrygia region (Asia Minor) 1177 Central Turkey - Φρυγία,40.0,31.0,region/people
place,Hermos,12.117,385281WHer,Hermus R. (Lydia) 64 Gediz - Έρμος,38.5178,28.1113,river
place,Pactolos,12.117,385281WPac,Pactolus R. (Lydia) 76 Sart Çayı - Πακτωλός,38.4804,28.0628,river
place,Sangarios,12.117,411306WSan,Sangarius R. (Asia Minor) 72 Karasu - Σαγγάριος,41.109,30.645,river
demonym,Phrygian,12.142,400310RPhr,Phrygia region (Asia Minor) 1177 Central Turkey - Φρυγία,40.0,31.0,region/people
demonym,Dorian,12.142,387224RDor,Doris tetrapolis (Central Greece) 303 Dorida - Δωρίς,38.7,22.4,region/people
demonym,Aonian,12.142,384233RBoi,Boiotia region (Boeotia) 1673 Viotia - Βοιωτία,38.35,23.25,region/people
place,Acheron,12.142,392205WAch,Acheron R. (Preveza) 163 Akheron - Αχέρων,39.2348,20.4831,river
place,Marathon,12.142,381240DMar,Marathon (Attica) 128 Plasi - Μαραθών,38.1466,23.9701,deme
place,Pactolos,12.142,385281WPac,Pactolus R. (Lydia) 76 Sart Çayı - Πακτωλός,38.4804,28.0628,river
place,Eurotas,12.142,371224WEur,Eurotas R. (Lakonia) 201 Evrotas - Ευρώτας,37.093,22.427,river
