mention_type,mention_name,citation,place_id,place_name,lat,lon,feature_type
ethnic,Chalcidians,7.57,385236PCha,Chalkis (Euboea) 435 Chalkida - Χάλκις,38.4597,23.6153,polity
ethnic,Styrians,7.57,382242PSty,Styra (Euboea) 22 Styra - Στύρα,38.1455,24.2607,polity
ethnic,Carystians,7.57,380244PKar,Karystos (Euboea) 146 Karystos - Κάρυστος,38.027,24.427,polity
ethnic,Ceans,7.57,376243IKeo,Keos (Kea) 152 Tzia - Κέως,37.6167,24.3333,island
ethnic,Andrians,7.57,378248PAnd,Andros (Cyclades) 131 Palaiopolis - Άνδρος,37.8186,24.8279,polity
ethnic,Tenians,7.57,375252PTen,Tenos (Tinos) 70 Tinos - Τήνος,37.538,25.1617,polity
ethnic,Milesians,7.57,375273PMil,Miletus (Ionia) 729 Milet - Μίλητος,37.5292,27.2775,polity
ethnic,Samians,7.57,377269PSam,Samos (Aegean) 872 Pythagoreio - Σάμος,37.695,26.935,polity
ethnic,Chians,7.57,384261PChi,Chios polis (Chios) 602 Khios - Χίος,38.3764,26.1342,polity
ethnic,Dryopes,7.57,383243RDry,Dryopes tribe (Euboea) 42  - Δρύοπες,38.2,24.2,region/people
ethnic,Methymnians,7.57,394262PMet,Methymna (Lesbos) 116 Methymna - Μήθυμνα,39.3692,26.1769,polity
ethnic,Tenedians,7.57,398261ITen,Tenedos (Troad) 155 Bozcaada - Τένεδος,39.8337,26.0715,polity
ethnic,Aenians,7.57,404229PAin,Aineia (Thessaloniki) 60 Nea Michaniona - Αίνεια,40.4754,22.8341,polity
ethnic,Aeolians,7.57,390271RAio,Aiolis region (Asia Minor) 293 N of Izmir - Αιολίς,39.0,27.1,region/people
ethnic,Boeotians,7.57,384233RBoi,Boiotia region (Boeotia) 1673 Viotia - Βοιωτία,38.35,23.25,region/people
ethnic,Plataeans,7.57,382233PPla,Plataea (Boeotia) 337 Plataia - Πλαταιά,38.2213,23.2733,polity
ethnic,Rhodians,7.57,364282IRho,Rhodes (Dodecanese) 1346 Rodos - Ρόδος,36.4408,28.2244,polity
ethnic,Cytherians,7.57,363230PKyt,Cythera (Kythera) 136 Paleokastro - Κύθηρα,36.2295,23.0291,polity
ethnic,Argives,7.57,376227PArg,Argos (Argolid) 2457 Argos - Άργος,37.63091,22.72079,polity
ethnic,Syracusans,7.57,371153PSyr,Syracuse (Sicily) 1628 Siracusa - Συράκουσαι,37.0639,15.293,polity
ethnic,Geloans,7.57,371143PGel,Gela (Sicily) 132 Gela - Γέλα,37.063,14.2587,polity
ethnic,Cephallenians,7.57,382206IKep,Kephallania (Kefallenia) 163 Kephallenia - Κεφαλληνία,38.2,20.59,island
ethnic,Zacynthians,7.57,378209PZak,Zacynthus (Ionian Islands) 123 Zakynthos - Ζάκυνθος,37.7872,20.8921,polity
ethnic,Corcyraeans,7.57,396199PKer,Corcyra (Ionian Islands) 405 Kerkyra/Corfu - Κέρκυρα,39.6063,19.9156,polity
ethnic,Corinthians,7.57,379229PKor,Corinth/Korinthos (Korinthia) 1749 Archaia Korinthos - Κόρινθος,37.9054,22.8802,polity
ethnic,Messenians,7.57,372218RMes,Messenia region (Messenia) 700 Messinia - Μεσσηνία,37.2,21.8,region/people
ethnic,Selinuntines,7.57,376128PSel,Selinus (Sicily) 106 Selinunte - Σελινούς,37.5828,12.8251,polity
ethnic,Lacedaemonians,7.57,371224PSpa,Sparta/Lacedaemon (Lakonia) 5559 Sparti - Σπάρτα,37.0821,22.4237,polity
ethnic,Mantineans,7.57,376224UMan,Mantineia (Arkadia) 400 Mantineia - Μαντίνεια,37.6181,22.3933,polity
ethnic,Arcadians,7.57,375223RArk,Arkadia region (Arkadia) 1437 Arkadia - Αρκαδία,37.5,22.3,region/people
ethnic,Cretans,7.57,352252IKre,Crete (Greece) 1562 Kriti - Κρήτη,35.2052,25.1836,region/people
ethnic,Aetolians,7.57,386215RAit,Aitolia region (Aitolia) 1220 Aitolia - Αιτωλία,38.6,21.5,region/people
ethnic,Acarnanians,7.57,388210RAka,Akarnania region (Akarnania) 435 Akarnania - Ακαρνανία,38.8,21.0,region/people
ethnic,Thurians,7.57,397164PTho,Thourioi (Magna Graecia) 170 Sibari - Θούριοι,39.716,16.49,polity
ethnic,Metapontines,7.57,404168PMet,Metapontion (Magna Graecia) 94 Metaponto - Μεταπόντιον,40.383,16.824,polity
ethnic,Siceliots,7.57,376145RSic,Sicily region (Italy) 3245 Sicilia - Σικελία,37.6,14.5,region/people
ethnic,Naxians,7.57,378153UNax,Naxos (Sicily) 63 Naxos-Giardini - Νάξος,37.8227,15.2726,polity
ethnic,Catanians,7.57,375151PCat,Katane/Catina (Sicily) 164 Catania - Κατάνη,37.503,15.0881,polity
ethnic,Egestaeans,7.57,379128PAig,Segesta (Sicily) 121 Segesta - Σέγεστα,37.9392,12.8399,polity
demonym,Attic,7.57,379239RAtt,Attica region (Hellas) 1518 Attiki - Αττική,37.9,23.9,region/people
demonym,Megarian,7.57,380233PMeg,Megara (Megarid) 713 Megara - Μέγαρα,37.997,23.34285,polity
demonym,Tyrrhenian,7.57,430105RTyr,Tyrrhenians/Etruria (Italy) 1288 Toscana - Τυρρηνία,43.0,10.5,region/people
demonym,Iapygian,7.57,400182RIap,Iapygia region (Italy) 105 Matera - Ιαπυγία,40.8,16.9,region/people
place,Hestiaea,7.57,389231PHis,Histiaia (Euboea) 78 Oreoi - Ιστιαία,38.9466,23.0905,polity
place,Euboea,7.57,385239IEub,Euboia (Euboea) 740 Evia - Εύβοια,38.53,23.87,island
place,Peloponnese,7.57,375222RPel,Peloponnese (Hellas) 1736 Peloponisos - Πελοπόννησος,37.54,22.15,region/people
place,Naupactus,7.57,384218UNau,Naupactus (Aitolia) 190 Navpaktos - Ναύπακτος,38.3997,21.8313,polity
place,Pylos,7.57,370217UPyl,Pylos/Koryphasion cape (Messenia) 112 Akr. Koryphasiou - Πύλος,36.9517,21.66,polity
place,Ionian Sea,7.57,408187WIon,Ionian Sea (Greece/Italy) 284 Mar Ionio - Ιόνιος,39.2,18.7,sea/strait
ethnic,Athenians,7.58,380237PAth,Athens (Attica) 9448 Athina - Αθήναι,37.9718,23.72793,polity
ethnic,Syracusans,7.58,371153PSyr,Syracuse (Sicily) 1628 Siracusa - Συράκουσαι,37.0639,15.293,polity
ethnic,Camarinaeans,7.58,369144PCam,Camarina (Sicily) 81 Camarina - Καμάρινα,36.8721,14.4474,polity
ethnic,Agrigentines,7.58,373136PAkr,Akragas (Sicily) 276 Agrigento - Ακράγας,37.2906,13.5855,polity
ethnic,Selinuntines,7.58,376128PSel,Selinus (Sicily) 106 Selinunte - Σελινούς,37.5828,12.8251,polity
ethnic,Himeraeans,7.58,380138PHim,Himera (Sicily) 129 Himera - Ιμέρα,37.9708,13.8225,polity
ethnic,Dorians,7.58,387224RDor,Doris tetrapolis (Central Greece) 303 Dorida - Δωρίς,38.7,22.4,region/people
ethnic,Sicels,7.58,376145RSic,Sicily region (Italy) 3245 Sicilia - Σικελία,37.6,14.5,region/people
ethnic,Lacedaemonians,7.58,371224PSpa,Sparta/Lacedaemon (Lakonia) 5559 Sparti - Σπάρτα,37.0821,22.4237,polity
ethnic,Corinthians,7.58,379229PKor,Corinth/Korinthos (Korinthia) 1749 Archaia Korinthos - Κόρινθος,37.9054,22.8802,polity
ethnic,Sicyonians,7.58,380227PSik,Sikyon (Korinthia) 619 Vasiliko - Σικυών,37.9834,22.7145,polity
ethnic,Boeotians,7.58,384233RBoi,Boiotia region (Boeotia) 1673 Viotia - Βοιωτία,38.35,23.25,region/people
demonym,Leucadian,7.58,387207PLeu,Leukas (Ionian Islands) 213 Leukada - Λευκάς,38.81,20.717,polity
demonym,Ambraciot,7.58,390209UAmb,Ambracus (Arta) 92 Phidokastro - Άμβρακος,39.0419,20.9538,harbor
place,Libya,7.58,300070RLib,Libya (Africa) 1525 North Africa - Λιβύη,32.01,10.01,region/people
place,Tyrrhenian sea,7.58,409115WTyr,Tyrrhenian Sea (Italy) 135 Mar Tirreno - Τυρρηνικόν πέλαγος,40.9,11.5,sea/strait
place,Arcadia,7.58,375223RArk,Arkadia region (Arkadia) 1437 Arkadia - Αρκαδία,37.5,22.3,region/people
place,Peloponnese,7.58,375222RPel,Peloponnese (Hellas) 1736 Peloponisos - Πελοπόννησος,37.54,22.15,region/people
ethnic,Syracusans,7.59,371153PSyr,Syracuse (Sicily) 1628 Siracusa - Συράκουσαι,37.0639,15.293,polity
ethnic,Athenians,7.59,380237PAth,Athens (Attica) 9448 Athina - Αθήναι,37.9718,23.72793,polity
ethnic,Athenians,7.6,380237PAth,Athens (Attica) 9448 Athina - Αθήναι,37.9718,23.72793,polity
ethnic,Syracusans,7.6,371153PSyr,Syracuse (Sicily) 1628 Siracusa - Συράκουσαι,37.0639,15.293,polity
ethnic,Athenians,7.60,380237PAth,Athens (Attica) 9448 Athina - Αθήναι,37.9718,23.72793,polity
ethnic,Acarnanians,7.60,388210RAka,Akarnania region (Akarnania) 435 Akarnania - Ακαρνανία,38.8,21.0,region/people
place,Catana,7.60,375151PCat,Katane/Catina (Sicily) 164 Catania - Κατάνη,37.503,15.0881,polity
ethnic,Athenians,7.61,380237PAth,Athens (Attica) 9448 Athina - Αθήναι,37.9718,23.72793,polity
