mention_type,mention_name,citation,place_id,place_name,lat,lon,feature_type
ethnic,Argives,1.34.4,376227PArg,Argos (Argolid),37.63091,22.72079,polity
place,Thebes,1.34.4,383233PThe,Thebes (Boeotia),38.3191,23.3178,polity
place,Attica,1.35.1,379239RAtt,Attica region (Hellas),37.9,23.9,region/people
place,Island of Patroclus,1.35.1,377240IPat,Patroklou Charax (Attica),37.6543,23.9577,island
place,another,1.35.1,377241IHel,Helene (Attica),37.678,24.116,island
place,Sunium,1.35.1,376240LSou,Sounion cape (Attica),37.6498,24.0247,sanctuary/temple
place,Attica,1.35.1,379239RAtt,Attica region (Hellas),37.9,23.9,region/people
place,Troy,1.35.1,400262UIli,Troy/Ilion (Troad),39.9575,26.2389,polity
place,Helene,1.35.2,377241IHel,Helene (Attica),37.678,24.116,island
place,Salamis,1.35.2,379235PSal,Salamis (Salamis),37.952,23.5408,polity
place,Eleusis,1.35.2,380235PEle,Eleusis (Attica),38.0441,23.5415,polity
place,Megara,1.35.2,380233PMeg,Megara (Megarid),37.997,23.34285,polity
ethnic,Aeginetans,1.35.2,378234PAig,Aigina polis (Aegina),37.75,23.425,polity
ethnic,Athenians,1.35.2,380237PAth,Athens (Attica),37.9718,23.72793,polity
demonym,Athenian,1.35.2,380237PAth,Athens (Attica),37.9718,23.72793,polity
ethnic,Athenians,1.35.2,380237PAth,Athens (Attica),37.9718,23.72793,polity
ethnic,Salaminians,1.35.2,379235PSal,Salamis (Salamis),37.952,23.5408,polity
ethnic,Macedonians,1.35.2,408225RMak,Macedonia region (Greece),40.81,22.5,region/people
place,Salamis,1.35.2,379235PSal,Salamis (Salamis),37.952,23.5408,polity
ethnic,Salaminians,1.35.2,379235PSal,Salamis (Salamis),37.952,23.5408,polity
ethnic,Athenians,1.35.3,380237PAth,Athens (Attica),37.9718,23.72793,polity
place,altar,1.35.3,380237SEur,Eurysakeion (Athens),37.9748,23.7199,sanctuary/temple
place,Athens,1.35.3,380237PAth,Athens (Attica),37.9718,23.72793,polity
place,Salamis,1.35.3,379235PSal,Salamis (Salamis),37.952,23.5408,polity
place,Aulis,1.35.3,384236UAul,Aulis (Euboea),38.4335,23.5925,sanctuary/temple
place,Salamis,1.35.4,379235PSal,Salamis (Salamis),37.952,23.5408,polity
ethnic,Aeolians,1.35.4,390271RAio,Aiolis region (Asia Minor),39,27.1,region/people
place,Ilium,1.35.4,400262UIli,Troy/Ilion (Troad),39.9575,26.2389,polity
person,Mysian,1.35.4,375275RMys,Mysia region (Asia Minor),40,28,region/people
ethnic,Celts,1.35.5,490070RKel,Keltike (Europe),49,7,region/people
demonym,Egyptian,1.35.5,271307REgy,Aigyptos (Egypt),27.1,30.7,region/people
ethnic,Magnesians,1.35.6,379275UMag,Magnesia ad Maeandrum (Ionia),37.853,27.526,polity
place,Lethaeus,1.35.6,378275WLet,Lethaios river (Ionia),37.83698,27.53559,river
place,Olympia,1.35.6,376216SOly,Olympian Zeus sanctuary (Eleia),37.6378,21.63,sanctuary/temple
ethnic,Milesians,1.35.6,375273PMil,Miletus (Ionia),37.5292,27.2775,polity
place,Lade,1.35.6,375272ILad,Lade (Caria),37.528,27.222,island
